City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mar del Plata,-38.0023,-57.5575,57.15,54,0,17.27,AR,1698699460
1,Upata,8.0086,-62.3989,79.86,73,100,3.89,VE,1698699460
2,Kozan,37.4552,35.8157,73.02,35,100,5.28,TR,1698699460
3,Squamish,49.7014,-123.1512,56.21,44,31,2.3,CA,1698699460
4,Valparaíso,-33.0393,-71.6273,62.02,65,0,13.8,CL,1698699461
5,Port Elizabeth,-33.918,25.5701,60.31,83,40,17.27,ZA,1698699461
6,Adamstown,-25.066,-130.1015,73.02,74,100,9.01,PN,1698699461
7,Blackmans Bay,-43.0167,147.3167,45.91,72,33,4.0,AU,1698699461
8,Bethel,41.3712,-73.414,52.59,88,100,3.44,US,1698699416
9,Swakopmund,-22.6833,14.5333,58.05,82,12,6.24,NA,1698699461
10,Talnakh,69.4865,88.3972,2.21,95,100,5.41,RU,1698699462
11,Petropavlovsk-Kamchatskiy,53.0452,158.6483,31.46,82,20,11.01,RU,1698699462
12,Ushuaia,-54.8,-68.3,38.89,65,75,21.0,AR,1698699462
13,Port Mathurin,-19.6833,63.4167,76.44,81,10,18.14,MU,1698699320
14,West Island,-12.1568,96.8225,78.78,83,100,16.11,CC,1698699462
15,Fale old settlement,-9.3852,-171.2468,83.41,76,32,15.21,TK,1698699462
16,Aasiaat,68.7098,-52.8699,25.79,77,6,18.9,GL,1698699463
17,Koné,-21.0595,164.8658,72.1,63,95,4.36,NC,1698699463
18,Qaqortoq,60.7167,-46.0333,42.35,61,100,21.99,GL,1698699463
19,Edinburgh of the Seven Seas,-37.0676,-12.3116,54.97,94,100,29.1,SH,1698699463
20,Port Alfred,-33.5906,26.891,57.18,93,70,1.99,ZA,1698699464
21,Carnarvon,-24.8667,113.6333,67.64,74,0,18.34,AU,1698699464
22,Ebon,4.582,168.6964,83.53,74,100,9.13,MH,1698699464
23,Khilok,51.3674,110.4676,17.24,65,21,2.8,RU,1698699464
24,Bilibino,68.0546,166.4372,-2.09,74,39,3.51,RU,1698699464
25,Kerikeri,-35.2268,173.9474,63.91,96,98,4.0,NZ,1698699464
26,Waitangi,-43.9535,-176.5597,57.81,83,73,14.0,NZ,1698699465
27,Madera,37.1666,-119.8343,73.44,20,8,4.94,US,1698699465
28,Karratha,-20.7377,116.8463,79.57,37,92,8.52,AU,1698699465
29,Albany,42.6001,-73.9662,46.2,87,100,9.95,US,1698698680
30,Burang,30.25,81.1667,30.85,75,81,1.97,CN,1698699465
31,Quellón,-43.1167,-73.6167,45.19,82,96,6.15,CL,1698699465
32,El Calafate,-50.3408,-72.2768,41.86,60,41,3.2,AR,1698699465
33,Severo-Yeniseyskiy,60.3725,93.0408,-0.49,99,80,2.37,RU,1698699466
34,Grytviken,-54.2811,-36.5092,40.37,76,26,9.37,GS,1698699466
35,Puerto Natales,-51.7236,-72.4875,46.85,36,0,4.61,CL,1698699466
36,Kukës,42.0769,20.4219,58.75,49,2,6.93,AL,1698699466
37,Papatowai,-46.5619,169.4708,55.09,72,100,4.09,NZ,1698699466
38,Puerto Baquerizo Moreno,-0.9,-89.6,81.59,65,75,16.11,EC,1698699466
39,Longyearbyen,78.2186,15.6401,33.64,69,75,8.05,SJ,1698699467
40,Zag,46.9441,99.165,27.86,79,100,1.68,MN,1698699467
41,Yellowknife,62.456,-114.3525,32.34,91,75,12.66,CA,1698699193
42,Lautoka,-17.6167,177.4667,82.26,65,20,3.44,FJ,1698699467
43,Bani Walid,31.7566,13.9942,72.32,35,41,7.76,LY,1698699467
44,Ilulissat,69.2167,-51.1,26.4,65,2,10.94,GL,1698699467
45,Olonkinbyen,70.9221,-8.7187,34.16,63,100,11.43,SJ,1698699468
46,Souillac,-20.5167,57.5167,77.38,83,75,8.05,MU,1698699468
47,Punta Arenas,-53.15,-70.9167,44.42,53,0,13.8,CL,1698699468
48,Tateyama,34.9833,139.8667,61.11,71,3,7.43,JP,1698699468
49,Charters Towers,-20.1,146.2667,68.04,67,12,7.72,AU,1698699468
50,Piti Village,13.4626,144.6933,80.82,89,0,5.75,GU,1698699468
51,Chittarkonda,18.1167,82.0833,63.95,92,22,2.35,IN,1698699469
52,Kotri,25.366,68.3122,81.21,38,2,6.87,PK,1698699469
53,Labrador City,52.9463,-66.9114,26.51,46,75,8.05,CA,1698699469
54,Bokhan,53.153,103.7714,22.03,65,99,2.53,RU,1698699469
55,Saint-Pierre,-21.3393,55.4781,74.88,69,20,3.44,RE,1698699469
56,Aripuanã,-9.1667,-60.6333,84.47,57,90,4.09,BR,1698699469
57,Port-aux-Français,-49.35,70.2167,37.45,83,100,36.86,TF,1698699470
58,Yichun,47.7,128.9,31.03,57,100,3.38,CN,1698699470
59,Igarka,67.4667,86.5833,0.54,96,94,3.94,RU,1698699470
60,Kimbe,-5.5502,150.1429,75.22,96,100,2.51,PG,1698699470
61,Mossendjo,-2.9506,12.7261,71.2,99,88,2.73,CG,1698699470
62,Dryden,49.7833,-92.7503,26.89,86,100,6.91,CA,1698699471
63,Jamestown,42.097,-79.2353,41.38,97,100,14.97,US,1698699277
64,Klyuchi,52.2667,79.1667,43.93,92,100,10.71,RU,1698699471
65,Ormara,25.2088,64.6357,80.08,69,2,8.32,PK,1698699471
66,Forbes,-33.3833,148.0167,57.24,46,100,14.27,AU,1698699471
67,Hammerfest,70.6634,23.6821,32.45,93,40,10.36,NO,1698699231
68,Gulf Breeze,30.3571,-87.1639,79.25,70,75,10.36,US,1698699471
69,Cova Figueira,14.8905,-24.2934,74.61,67,11,2.55,CV,1698699472
70,Juankoski,63.0667,28.35,21.85,95,44,2.08,FI,1698699472
71,Iqaluit,63.7506,-68.5145,9.7,72,75,19.57,CA,1698699472
72,Serenje,-13.2325,30.2352,67.57,73,77,12.12,ZM,1698699472
73,Nemuro,43.3236,145.575,49.59,80,9,9.95,JP,1698699472
74,Praia da Vitória,38.7333,-27.0667,66.45,72,20,11.9,PT,1698699472
75,Rongelap,11.1635,166.8941,83.1,79,100,23.53,MH,1698699473
76,Invercargill,-46.4,168.35,50.02,91,99,4.0,NZ,1698699473
77,Mount Pearl,47.5166,-52.7813,39.63,61,100,12.66,CA,1698699473
78,Porto-Novo,6.4965,2.6036,80.08,83,100,4.79,BJ,1698699258
79,Gaimán,-43.2897,-65.4929,48.36,63,100,15.82,AR,1698699473
80,Hawaiian Paradise Park,19.5933,-154.9731,78.01,91,100,8.05,US,1698699473
81,Blagoveshchensk,50.2667,127.5333,18.21,79,0,0.0,RU,1698699372
82,Chonchi,-42.6128,-73.8092,52.12,87,95,2.55,CL,1698699474
83,Anadyr,64.75,177.4833,30.0,100,75,13.42,RU,1698699474
84,Lewiston Orchards,46.3804,-116.9754,49.77,57,5,1.12,US,1698699474
85,Lae,-6.7221,146.9847,74.07,93,100,4.63,PG,1698699474
86,Taoudenni,22.6783,-3.9836,91.62,9,45,5.79,ML,1698699474
87,Chibougamau,49.9168,-74.3659,26.22,86,100,8.05,CA,1698699474
88,Bodø,67.28,14.405,26.67,81,0,12.66,NO,1698699474
89,Sampit,-2.5333,112.95,74.77,96,93,0.4,ID,1698699475
90,Ta`ū,-14.2336,-169.5144,80.44,82,59,26.96,AS,1698699475
91,Camargo,27.6667,-105.1667,45.28,69,100,9.98,MX,1698699475
92,Hamilton,39.1834,-84.5333,43.93,84,100,11.5,US,1698699180
93,Hinesville,31.8469,-81.5959,83.17,39,0,0.0,US,1698699475
94,Stanley,54.868,-1.6985,42.85,94,100,8.03,GB,1698699475
95,Bredasdorp,-34.5322,20.0403,58.33,74,0,20.51,ZA,1698699475
96,Harstad,68.799,16.5293,31.42,96,57,15.99,NO,1698699476
97,Saint-Philippe,-21.3585,55.7679,74.79,83,18,9.17,RE,1698699476
98,San Julián,21.0167,-102.1667,77.47,20,4,7.61,MX,1698699476
99,Cabo San Lucas,22.8909,-109.9124,84.76,65,1,1.01,MX,1698699185
100,Utrik,11.2278,169.8474,82.49,81,94,21.32,MH,1698699476
101,Walvis Bay,-22.9575,14.5053,58.15,88,11,4.61,NA,1698699476
102,Tofol,5.3248,163.0078,83.46,73,100,10.56,FM,1698699477
103,Ancud,-41.8697,-73.8203,48.36,59,27,9.89,CL,1698699477
104,Vikulovo,56.8167,70.6107,21.02,91,90,10.22,RU,1698699477
105,Puerto Ayora,-0.7393,-90.3518,76.55,89,100,5.01,EC,1698699477
106,Kutná Hora,49.9484,15.2682,60.76,81,0,9.22,CZ,1698699477
107,Dickinson,29.4608,-95.0513,50.11,84,100,16.11,US,1698699478
108,Ribeira Grande,38.5167,-28.7,66.6,77,40,14.0,PT,1698699478
109,George Town,5.4112,100.3354,79.11,92,20,5.75,MY,1698699197
110,Isafjordur,66.0755,-23.124,36.37,75,87,4.83,IS,1698699478
111,Keflavik,64.0049,-22.5624,39.63,70,40,13.8,IS,1698699478
112,Tazovsky,67.4667,78.7,1.35,95,20,4.29,RU,1698699478
113,Antsiranana,-12.2787,49.2917,76.48,82,98,13.42,MG,1698699478
114,Kalmunai,7.4167,81.8167,77.7,84,53,4.18,LK,1698699479
115,Bichura,50.5881,107.6022,23.23,70,29,3.58,RU,1698699479
116,Hakui,36.8833,136.7833,49.12,87,3,3.09,JP,1698699479
117,Cacequi,-29.8836,-54.825,67.8,93,100,20.89,BR,1698699479
118,Cadale,2.7603,46.3222,81.09,74,36,7.27,SO,1698699479
119,Tsiombe,-25.3,45.4833,71.82,84,100,5.08,MG,1698699479
120,Enewetak,11.3474,162.3373,83.28,79,100,22.73,MH,1698699480
121,Tashtagol,52.7657,87.8894,38.52,99,100,4.0,RU,1698699480
122,Margate,51.3813,1.3862,48.69,92,100,14.9,GB,1698699480
123,Ashgabat,37.95,58.3833,66.06,48,100,13.8,TM,1698699183
124,Kokopo,-4.352,152.2633,76.64,87,100,8.52,PG,1698699481
125,Tura,25.5198,90.2201,67.42,87,95,3.49,IN,1698699481
126,Greymouth,-42.4667,171.2,59.81,63,100,3.06,NZ,1698699481
127,Ambovombe,-25.1667,46.0833,71.62,83,97,6.6,MG,1698699481
128,Ghadames,30.1337,9.5007,80.02,18,53,12.55,LY,1698699481
129,Al Burayqah,30.4062,19.5739,73.78,68,15,10.74,LY,1698699482
130,Miami Beach,25.7906,-80.1301,84.29,71,75,10.36,US,1698699254
131,Kailua-Kona,19.6406,-155.9956,83.8,68,20,6.91,US,1698699427
132,Acapulco de Juárez,16.8634,-99.8901,84.06,77,42,5.28,MX,1698699409
133,Mont-Dore,-22.2833,166.5833,75.0,99,9,4.54,NC,1698699482
134,Plettenberg Bay,-34.0527,23.3716,56.19,73,0,14.85,ZA,1698699482
